movie_id,genre,overview
nosferatu-2024,Drama,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
maxxxine,Thriller,"Six years after the ‘Texas Pornhouse Massacre’, Maxine is now LA-based and on a driven quest to become a star in the acting world. But things take a sinister turn when bodies once again begin to fall around her."
spider-man-beyond-the-spider-verse,Adventure,"Taking place right after the events of Spider-Man: Across the Spider-Verse, Gwen Stacy leads the newly reformed Spider-Gang in a race against the Spider-Society, led by Miguel O’Hara, to find Miles Morales, who is trapped in the home dimension of the spider that bit him, along with an alternate version of himself as the Prowler, while the Spot begins his deadly attack in his dimension with far-reaching multiversal consequences."
challengers,Drama,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a “Challenger” event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi’s former boyfriend."
mickey-17,Adventure,"Mickey 17 is an “expendable”, a disposable employee, on a human expedition sent to colonize the ice world Niflheim. After one iteration dies, a new body is regenerated with most of its memories intact."
deadpool-wolverine,Action,Third entry in the “Deadpool” franchise. Plot TBA.
joker-folie-a-deux,Thriller,A sequel to the 2019 film Joker.
furiosa-a-mad-max-saga,Science Fiction,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home."
the-batman-part-ii,Action,Sequel to the 2022 film The Batman.
civil-war-2024,Drama,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war."
megalopolis-2,Science Fiction,An architect wants to rebuild New York City as a utopia following a devastating disaster.
knives-out-3,Crime,The third installment in the Knives Out franchise.
the-fall-guy-2024,Action,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
wicked-2024,Romance,"Elphaba, an ostracized but defiant girl born with green skin, and Galinda, a privileged aristocrat born popular, become extremely unlikely friends in the magical Land of Oz. As the two girls struggle with their opposing personalities, their friendship is tested as both begin to fulfill their destinies as Glinda the Good and The Wicked Witch of the West. The first of a two-part film adaptation of the Broadway musical."
inside-out-2-2024,Animation,"Teenager Riley’s mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone."
my-year-of-rest-and-relaxation,Comedy,"Bored with her seemingly meaningless life, a young woman escalates her use of prescription drugs so she can sleep through the whole year."
blade-2025,Fantasy,A film set in the Marvel Cinematic Universe (MCU) based on the Marvel Comics character of the same name.
kingdom-of-the-planet-of-the-apes,Adventure,"Several generations in the future following Caesar’s reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike."
beetlejuice-beetlejuice,Horror,"After an unexpected family tragedy, three generations of the Deetz family return to the small Vermont town of Winter River. Paranormal empath, Lydia Deetz, begins to see the lecherous demon Beetlejuice, who haunted her as a teenager. His plans to finally marry Lydia are given extra urgency when his dead wife comes to life and begins to stalk the Afterlife hunting for him. Meanwhile, Lydia’s teenage daughter embarks on a romance with a local teen."
untitled-gladiator-sequel,Action,"The film will follow the continuing story of Lucius, the son of Lucilla."
longlegs,Mystery,"FBI agent Lee Harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer. As the case takes complex turns, unearthing evidence of connections to occult practices, Harker discovers a personal connection to the merciless killer and must race against time to stop him before he strikes again."
the-fantastic-four-2025,Science Fiction,Set in the Marvel Cinematic Universe (MCU) and based on the Marvel Comics characters of the same name.
a-quiet-place-day-one,Thriller,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sammy fights to survive."
mission-impossible-8,Adventure,The eighth installment of the Mission: Impossible franchise.
monkey-man,Thriller,"Kid, an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him."
avatar-3,Thriller,The third entry in the Avatar franchise.
sherlock-holmes-3,Crime,The continuation of the Sherlock Holmes story
paddington-in-peru,Comedy,"Paddington travels to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown Family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey through the Amazon rainforest and up to the mountain peaks of Peru."
captain-america-brave-new-world,Adventure,A sequel to Marvel Studios’ The Falcon and the Winter Soldier and follows Sam Wilson as the new Captain America.
frankenstein-4,Drama,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation."
mad-max-the-wasteland,Action,Sequel to the film “Mad Max: Fury Road”
kraven-the-hunter,Action,"Sergei Kravinoff is a big game hunter, who takes a magical serum giving him superhuman abilities and a longer life."
ballerina-2025,Action,A young female assassin seeks revenge against the people who killed her family.
the-movie-critic,Drama,The story of an irreverent critic in 1970s California who reviews mainstream movies for a porno magazine called The Popstar Pages.
if-2024,Comedy,A girl discovers she can see everyone’s imaginary friends and embarks on a magical adventure to reconnect forgotten IFs with their kids.
john-wick-chapter-5,Crime,The fifth installment in the John Wick franchise. Plot TBA.
kinds-of-kindness,Comedy,Tells three separate stories with the cast playing different characters in each.
untitled-peaky-blinders-film,Crime,An untitled film connected to the hit BBC TV Show - ‘Peaky Blinders’ which will finish the story of the Shelby family.
twisters,Drama,"As storm season intensifies, the paths of former storm chaser Kate Cooper, lured back to the open plains after a devastating encounter years prior, and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives."
baby-driver-2,Action,A sequel to the 2017 film Baby Driver.
uzumaki,Mystery,"A town of people slowly go insane over increasing obsessions with spiral shapes: patterns in the clouds, everyday objects, hair, insects, skin."
we-live-in-time,Drama,"Almut finds her life forever changed by a chance encounter with Tobias, a recent divorcé. But after falling for each other, building a home, and starting a family, a difficult truth is revealed."
despicable-me-4,Family,"Gru and Lucy and their girls — Margo, Edith and Agnes — welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, and the family is forced to go on the run."
alien-romulus,Science Fiction,A group of young people on a distant world find themselves in a confrontation with the most terrifying lifeform in the universe.
avatar-4,Adventure,No overview available
venom-3,Action,The third entry in the Venom trilogy confirmed to be in development by Amy Pascal.
ghostbusters-frozen-empire,Fantasy,"The Spengler family returns to where it all started – the iconic New York City firehouse – to team up with the original Ghostbusters, who’ve developed a top-secret research lab to take busting ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age."
godzilla-x-kong-the-new-empire,Science Fiction,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own."
immaculate-2024,Mystery,"Cecilia, a woman of devout faith, is offered a fulfilling new role at an illustrious Italian convent. Her warm welcome to the picture-perfect Italian countryside is soon interrupted as it becomes clearer to Cecilia that her new home harbors some dark and horrifying secrets."
avatar-5,Fantasy,No overview available
avengers-5,Science Fiction,An upcoming film in the Marvel Cinematic Universe’s sixth Phase and part of The Multiverse Saga. Plot unknown.
thunderbolts,Adventure,A world without Avengers doesn’t mean there’s not a group of superheroes. There is a group and they’re called the Thunderbolts.
legally-blonde-3,Comedy,Legally Blonde 3 picks up with Elle Woods at 40 and as a mom with a successful career.
borderlands-2024,Science Fiction,"After returning to her home planet Pandora, infamous outlaw Lilith is given a dangerous mission and forms an alliance (and potential friendship) with other criminals, including former mercenary Roland, demolitionist Tiny Tina and her protector Krieg, insane scientist Tannis, and the wisecracking robot Claptrap. The mission: find and protect the missing (and important) daughter of a powerful man named Atlas. But things may not be as they seem, as the girl holds the key to great power that can change the fate of the universe. ×"
kingsman-the-blue-blood,Adventure,The upcoming fourth installment in the Kingsman film franchise
nightbitch,Comedy,"A woman, thrown into the stay-at-home routine of raising a toddler in the suburbs, slowly embraces the feral power deeply rooted in motherhood, as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog."
avengers-secret-wars,Science Fiction,An upcoming film in the Marvel Cinematic Universe’s sixth Phase and the finale of The Multiverse Saga. Plot unknown.
now-you-see-me-3,Thriller,A third installment of the ‘Now You See Me’ franchise.
cruella-2,Crime,Sequel to 2021’s Cruella.
untitled-jordan-peele-project,Thriller,"Untitled Fourth Film Directed by Jordan Peele, cast and plot kept under wraps."
terrifier-3,Horror,"After the bloody events of Terrifier 2,  Art the Clown once again returns to Miles County setting to unleash chaos on the unsuspecting residents of the town as they peacefully drift off to sleep on Christmas Eve."
sonic-the-hedgehog-3,Action,The third film in the “Sonic the Hedgehog” franchise.
the-way-of-the-wind,History,A dramatization of several episodes in the life of Christ.
wolf-man-2024,Horror,A man and his family are terrorized by a lethal predator.
abigail-2024,Horror,"After a group of would-be criminals kidnap the 12-year-old ballerina daughter of a powerful underworld figure, all they have to do to collect a $50 million ransom is watch the girl overnight. In an isolated mansion, the captors start to dwindle, one by one, and they discover, to their mounting horror, that they’re locked inside with no normal little girl."
the-idea-of-you-2024,Romance,"While chaperoning her teenage daughter’s trip to Coachella, Solène, a 40-year-old single mother, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
polaris-1,Drama,"Set in Alaska during the 1890s, an ice photographer meets the devil."
disneys-snow-white,Fantasy,Live-action adaptation of the 1937 Disney animated film ‘Snow White and the Seven Dwarfs’.
untitled-shang-chi-sequel,Fantasy,Sequel to the 2021 film “Shang-Chi and the Legend of the Ten Rings”.
mother-mary-1,Music,An epic pop melodrama following a fictional musician and her relationship with an iconic fashion designer.
the-seven-husbands-of-evelyn-hugo,Drama,"Reclusive Hollywood legend Evelyn Hugo chooses an unknown reporter, Monique Grant, to tell her life story. Evelyn recounts her time in the Golden Age of Hollywood, her rise to fame, and her seven marriages — revealing stunning secrets and lies. But through it all, one question remains: Why has she chosen Monique for her final confession?"
the-garfield-movie,Animation,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist."
